gene,n.sh_sgRNAs.raw,n.sh_sgRNAs.passFilter.3VS1.A375_VS_plasmid,B.3VS1.A375_VS_plasmid,z.3VS1.A375_VS_plasmid,pval.3VS1.A375_VS_plasmid,FDR.3VS1.A375_VS_plasmid,B.sd.3VS1.A375_VS_plasmid
GLRX3,4,4,-1.713937088241147,-1.818543360211886,0.06898112575789883,0.4299424734739865,0.7749391720572969
CT47A6,4,4,-1.7133290221258881,-1.008861021990061,0.31304129078024806,0.7659618962466226,1.5559720361744807
VAC14,4,4,-1.712868196926333,-2.624722225057617,0.008671968221363754,0.1965987775041618,0.4473722419327969
GOLT1B,4,4,-1.7093247876003979,-1.2977941090059661,0.19435809449486188,0.6552771670630262,1.1700841089176877
H2AFB3,4,4,-1.7086831500746187,-1.399607975185742,0.16163074444912653,0.610634120275494,1.0706930470884444
ICE1,4,4,-1.7073449415088475,-2.4973004098821727,0.01251428906555662,0.2202445735819371,0.4850025002301044
PRRC2C,4,4,-1.706151509999563,-2.2481774053774664,0.024564879835358884,0.28047105632808506,0.5721010593799251
CTPS1,4,4,-1.7060103380122333,-1.696735180216049,0.0897467383610119,0.48261404290357435,0.8440434874702173
KRTAP4-5,4,4,-1.7040146528957638,-0.8107867820069519,0.4174881264941311,0.8291525458515099,1.9575058281179245
CCDC59,4,4,-1.7029995733013878,-1.565773421948842,0.1174016704801193,0.5412200019021998,0.9318976834628369
SERF1A,4,4,-1.7017961044747143,-1.659517124799075,0.0970116327987264,0.4983024288315124,0.8660254568420346
SEPSECS,4,4,-1.7016494559569422,-2.27810109272387,0.022720555175589924,0.27345939936650826,0.5592352271223363
CHMP7,4,4,-1.6997275227465862,-1.6104698654125371,0.10729531899056645,0.5203591555104533,0.898188827029846
UBAP2L,4,4,-1.6974734772677904,-2.690662550687525,0.007131028537797304,0.1898263905890249,0.42452593655985466
SUDS3,4,4,-1.6936750922725206,-2.6924461504526427,0.007092998892115331,0.18960627667832214,0.42307922872783016
NDUFB3,4,4,-1.6922836980156728,-1.632830820970653,0.10250458293473118,0.5108657349756237,0.8789538651799813
COG7,4,4,-1.692193829487666,-2.486521482863931,0.012899878086552581,0.22414124533479954,0.48413410151286473
LCE1C,4,4,-1.6913569021052344,-1.5148607473487004,0.12980767266340337,0.5616747097853506,0.9637906037359786
GBF1,4,4,-1.6910571554173848,-1.9728359717451844,0.048514253385383135,0.3732292214189714,0.6848769889051661
URGCP-MRPS24,4,4,-1.6904041248362227,-1.2975953868315024,0.1944264082104386,0.6553279080917808,1.1573374250958428
TCERG1,4,4,-1.6892919423111932,-1.8581380660450757,0.06314941036840678,0.41491051233116494,0.7422345780151419
KRT17,4,4,-1.6882384845501373,-1.781329503313168,0.07485863741344015,0.44392588795627724,0.7843542996064699
CDH2,4,4,-1.6859528223570668,-2.1726053588465595,0.02981003222054321,0.30599309657961454,0.5949518194910095
FAM86C1,4,4,-1.685610734990075,-1.2391037096975013,0.21530709337888554,0.6812567435048603,1.2169166860302045
SMG5,4,4,-1.684476427502371,-2.190489124364586,0.028488782687889413,0.29947297528963057,0.5872645663772844
MYH9,4,4,-1.681411201766628,-2.10797197075934,0.03503341400318385,0.3234396018468354,0.6200902206132218
UFD1,4,4,-1.6796952319838594,-1.1077947480632695,0.26795046878111106,0.7282902886537792,1.3758804993571303
ATRX,4,4,-1.6789698855040402,-1.7866408419260962,0.07399555615903182,0.44085943418565315,0.7770145472730922
PTP4A1,4,4,-1.678473262356108,-1.7815336390470855,0.07482531452289265,0.44392588795627724,0.7797005267013052
UPK3BL1,4,4,-1.677618345778028,-2.6346467515892744,0.008422488641141724,0.1964775101317237,0.4353128155688354
SNAPC4,4,4,-1.6763635164490238,-1.4365088261355574,0.15085760667166728,0.5949143904697207,1.0184262504022168
HAUS7,4,4,-1.6718492155774474,-2.4281591129647153,0.015175683818518951,0.2362408039249829,0.4971498006347006
NAA30,4,4,-1.6716318754034112,-1.9534927639196178,0.05076123388229306,0.3802103109530282,0.6862788951019317
