sgrna,Gene,control_count,treatment_count,control_mean,treat_mean,LFC,control_var,adj_var,score,p.low,p.high,p.twosided,FDR,high_in_treatment
RPS27-5,RPS27,3964.4/4410.2/4316,2206.6/2996.3/2881,4225.8,2670.7,-0.66182,55243,29632,9.034,8.2771e-20,1,1.6554e-19,3.7788e-19,False
RPS19-4,RPS19,1454.2/1637.2/1718.6,843.91/506.62/788.88,1599.4,696.09,-1.1991,18357,10026,9.0218,9.2547e-20,1,1.8509e-19,4.2151e-19,False
PSMC2-9,PSMC2,7358.2/7272.8/7362.1,5381.4/5268.7/5025.1,7330.9,5222.9,-0.48905,2545.1,54833,9.002,1.1077e-19,1,2.2155e-19,5.0333e-19,False
RPL3-10,RPL3,1502.1/1366.7/1431.4,870.93/490.91/470.05,1432.3,585.75,-1.2885,4589.5,8866.2,8.9908,1.2275e-19,1,2.4549e-19,5.5642e-19,False
ABCG8-2,ABCG8,3411/3008.5/3037.5,4802.3/3992.9/4613.9,3147.1,4455.9,0.50153,50445,21326,8.962,1,1.5949e-19,3.1898e-19,7.2128e-19,True
PSMD6-6,PSMD6,4221.9/4153.5/4359.2,2759.6/2498.9/2880,4244,2708.1,-0.64796,10978,29775,8.9011,2.7645e-19,1,5.5291e-19,1.2473000000000001e-18,False
TRIM42-5,TRIM42,4671.9/4666/4907.6,6626.1/6821.9/5716.7,4747.2,6369.5,0.42403,18994,33743,8.8316,1,5.1616e-19,1.0323e-18,2.3233e-18,True
CYP7A1-9,CYP7A1,2958.2/3089.7/2942.2,4488.9/4157.5/4112,2996,4249.5,0.50411,6553.7,20186,8.8226,1,5.5894e-19,1.1179e-18,2.51e-18,True
DEFB129-9,DEFB129,4804.9/4532.1/4836.9,6493.7/5859.5/6684.8,4722.6,6336,0.42389,28059,33549,8.8081,1,6.3626e-19,1.2725e-18,2.8505e-18,True
CABP5-8,CABP5,4335.8/4868.2/4676.7,6354.1/5764.2/6553.8,4621.6,6214.8,0.42723,72767,32748,8.8039,1,6.6049e-19,1.321e-18,2.9523e-18,True
COPZ1-6,COPZ1,4850.9/5462/5481.9,6850.4/7391.3/6660.7,5256.6,6960.7,0.40505,128780,37812,8.7638,1,9.4424e-19,1.8885e-18,4.2108e-18,True
PSMB2-17,PSMB2,710.35/884.63/875.89,251.28/146.07/281.26,819.53,217.75,-1.9073,9667.3,4762.1,8.7205,1.3855e-18,1,2.771e-18,6.1641e-18,False
NUP205-10,NUP205,3069.3/3416.6/3577.2,2099.4/2046.8/1958.2,3347.5,2034,-0.7185,67468,22846,8.6902,1.8083e-18,1,3.6166e-18,8.0268e-18,False
NUP98-9,NUP98,2679.6/2633.6/2673.8,1704.9/1658.5/1219.4,2662.3,1510.8,-0.81696,628.98,17694,8.6566,2.4305e-18,1,4.861e-18,1.0764e-17,False
KRT77-6,KRT77,4682.4/4545.1/4963.9,6192.9/6184.9/6564.4,4727.3,6311.6,0.41693,45595,33585,8.6452,1,2.6849e-18,5.3698e-18,1.1863e-17,True
RPL30-6,RPL30,4282.2/3699.2/3974,5166.1/5932.5/5174.4,3978,5412.8,0.44423,85146,27699,8.6209,1,3.322e-18,6.6439e-18,1.4644e-17,True
CRYGB-10,CRYGB,6317.5/6641.2/6581.4,7759.1/9299.5/8209.6,6511.9,8398.4,0.367,29665,48033,8.608,1,3.7188e-18,7.4376e-18,1.6356e-17,True
RPS3A-2,RPS3A,3659.9/3866.3/3865.7,2875.8/2187.4/2214.5,3796.1,2406.1,-0.65759,14162,26289,8.5728,5.0495e-18,1,1.0099e-17,2.2158e-17,False
PSMD1-15,PSMD1,8731/8146.4/7960.9,10581/9728.5/10988,8273,10419,0.33272,161600,62768,8.5663,1,5.3414e-18,1.0683e-17,2.3385e-17,True
OC90-5,OC90,1694.5/1851.4/1780.6,2316.5/2749.5/3030.3,1774.4,2682.4,0.59593,6179.3,11255,8.5588,1,5.704e-18,1.1408e-17,2.4916e-17,True
NUP54-16,NUP54,2459.4/2436.9/2600.3,3520.6/3358.7/3930.9,2497.8,3595.5,0.52535,7839.1,16480,8.5509,1,6.1072e-18,1.2214e-17,2.6617e-17,True
ABCG8-8,ABCG8,4901.6/4649.4/5139.9,6423.5/6379.9/6667.4,4892.9,6489.1,0.40726,60189,34902,8.5439,1,6.4857e-18,1.2971e-17,2.8203e-17,True
RPS13-5,RPS13,4734.1/5476.8/4891.7,3259.5/3753.5/3239.3,5024.3,3409.4,-0.55927,153270,35951,8.5171,8.1834e-18,1,1.6367e-17,3.5505e-17,False
SAGE1-1,SAGE1,3669.5/4046.4/3722.9,4553.7/5573.8/5505.8,3809.4,5189.3,0.4459,41612,26392,8.4945,1,9.9433e-18,1.9887e-17,4.3043e-17,True
PSMB3-4,PSMB3,6153.8/6137.9/6835.4,8567.9/8031.1/8019.8,6367.6,8202.3,0.36523,158640,46846,8.4768,1,1.1569e-17,2.3138e-17,4.9969e-17,True
OC90-6,OC90,5123.7/5087.1/5604.5,7051.2/6953.1/6745.5,5266.6,6915.4,0.39287,83418,37893,8.4701,1,1.2257e-17,2.4514e-17,5.282e-17,True
